class,cliff,zov,objA,objB,scene
並排有縫,118.23048085927002,1.0,baseball,bleach_cleanser,n4_scene0029
同物過切,27.681940640736258,1.0,bleach_cleanser,bleach_cleanser,n4_scene0029
同物過切,49.78855307764604,0.0,bleach_cleanser,bleach_cleanser,n4_scene0029
同物過切,7.87140207562973,1.0,nine_hole_peg_test,nine_hole_peg_test,n4_scene0029
同物過切,43.73072097388114,0.0,bleach_cleanser,bleach_cleanser,n4_scene0029
並排有縫,57.361447540893344,0.75,mini_soccer_ball,cups,n4_scene0030
並排有縫,57.361447540893344,0.09090909090909091,mini_soccer_ball,cups,n4_scene0030
並排有縫,42.22716366963714,0.9375,cups,mini_soccer_ball,n4_scene0030
同物過切,34.47545628160872,1.0,mini_soccer_ball,mini_soccer_ball,n4_scene0030
同物過切,11.173385701167382,1.0,mini_soccer_ball,mini_soccer_ball,n4_scene0030
並排有縫,74.73977214183247,1.0,phillips_screwdriver,cups,n4_scene0031
同物過切,8.951885329652988,1.0,apple,apple,n4_scene0032
同物過切,4.661695862842419,1.0,tuna_fish_can,tuna_fish_can,n4_scene0033
同物過切,9.661588042776614,0.0,bleach_cleanser,bleach_cleanser,n4_scene0033
同物過切,7.56656112445303,0.2,bleach_cleanser,bleach_cleanser,n4_scene0033
並排有縫,194.63384439218777,1.0,softball,bleach_cleanser,n4_scene0033
同物過切,43.215623001776116,0.2,bleach_cleanser,bleach_cleanser,n4_scene0033
同物過切,69.0528833453805,0.0,bleach_cleanser,bleach_cleanser,n4_scene0033
並排有縫,230.02658933892033,0.0,softball,bleach_cleanser,n4_scene0033
並排有縫,209.2680310797463,0.0,softball,bleach_cleanser,n4_scene0033
同物過切,17.31934191570478,0.875,cups,cups,n4_scene0034
同物過切,12.445493536811265,0.5555555555555556,cups,cups,n4_scene0035
同物過切,5.000460961180009,0.6666666666666666,knife,knife,n4_scene0035
同物過切,3.364123765815786,1.0,cups,cups,n4_scene0035
同物過切,7.072038606213638,1.0,master_chef_can,master_chef_can,n4_scene0035
同物過切,16.32158950228537,0.5714285714285714,master_chef_can,master_chef_can,n4_scene0035
並排有縫,244.16637182425944,1.0,pitcher_base,spoon,n4_scene0036
並排有縫,15.24958537589044,1.0,pitcher_base,spoon,n4_scene0036
並排有縫,62.3043960900217,1.0,pudding_box,scissors,n4_scene0037
